Area,Water_Type,Lat,Long,Crop,06_08,06_20,07_02,07_14,07_26,08_07,08_19,08_31,09_12,09_24,10_18,10_30
3,Bore & rain,17.61055556,77.99012778,Paddy,5,20,30,35,40,45,50,55,58,59,59,65
5,Bore & rain,17.61006111,77.99048889,Paddy,10,15,20,25,30,38,45,52,85,95,100,105
4,Bore & rain,17.60911389,77.99053333,Paddy,11,18,24,29,35,40,45,50,57,65,70,80
1,Bore & rain,17.610625,77.99075,Paddy,5,12,18,22,28,35,40,42,48,52,68,80
2.5,Rain,17.60925,77.99180833,Cotton ,5,9,14,18,24,28,31,35,38,40,44,45
3,Rain,17.60927778,77.99220556,Cotton ,4,15,20,25,30,35,40,45,50,55,60,65
4,Rain,17.60968056,77.99252222,Cotton ,7,14,16,20,24,25,30,34,36,38,40,45
2,Rain,17.60904722,77.99288333,Cotton ,5,10,14,18,21,24,28,32,36,40,44,50
1,Bore & rain,17.61169722,77.98744444,Paddy,7,15,20,25,30,42,52,62,70,75,80,88
2.25,Bore & rain,17.61113889,77.98750833,Paddy,10,18,29,35,40,45,50,62,68,70,75,80
3,Rain,17.607175,77.99184722,Cotton ,7,9,12,15,18,25,30,35,40,45,48,52
3.5,Rain,17.6078,77.99158333,Cotton ,9,11,14,19,24,28,31,38,40,45,55,60
1,Bore & rain,17.60776389,77.98704444,Paddy,4,12,16,20,29,38,40,45,55,60,65,70
2.5,Bore & rain,17.60695278,77.98818889,Paddy,2,10,15,20,25,28,30,32,34,36,37,38
1.25,Bore & rain,17.60544444,77.98705556,Paddy,4,6,8,10,12,14,16,18,20,24,29,35
1,Bore & rain,17.60481111,77.985925,Paddy,2,5,8,10,15,20,25,30,35,40,45,50
1.5,Bore & rain,17.60415278,77.98595,Paddy,4,10,15,20,25,30,40,45,50,55,60,65
2,Bore & rain,17.60341667,77.98566389,Paddy,4,10,15,20,25,28,31,35,40,45,50,55
2,Bore & rain,17.60252222,77.98468889,Paddy,6,8,9,12,15,18,24,29,35,40,45,52
5,Bore & rain,17.60271667,77.98668889,Paddy,8,15,20,25,35,45,50,55,60,75,80,95
1,Bore & rain,17.60260556,77.98921944,Paddy,10,18,25,35,45,50,55,60,70,75,80,86
